country,month,category,n_tenders,est_total_eur,est_median_eur,est_total_eur_real,est_median_eur_real,n_awards,awd_total_eur,awd_median_eur,awd_total_eur_real,awd_median_eur_real,value_missing_share,group,treat_date,treat_month,treat_month_alt,treated,rel_month,post_eforms,month_2023_10
BE,2023-07,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-15.0,0,0
BE,2023-08,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-14.0,0,0
BE,2023-08,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-14.0,0,0
BE,2023-08,ict_generic,34.0,,,,,18.0,854357434.6399999,3467808.55,750344566.4015622,3045623.760399305,0.7115384615384616,early,2024-10-18,2024-10,2024-11,0,-14.0,0,0
BE,2023-08,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-14.0,0,0
BE,2023-09,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-13.0,0,0
BE,2023-09,cyber_strict,1.0,,,,,0.0,0.0,,0.0,,1.0,early,2024-10-18,2024-10,2024-11,0,-13.0,0,0
BE,2023-09,ict_generic,49.0,27772868.84,800000.0,24482150.228069387,705210.5526184276,14.0,19151310.58,580341.07,16882132.896861173,511578.3083523369,0.6190476190476191,early,2024-10-18,2024-10,2024-11,0,-13.0,0,0
BE,2023-09,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-13.0,0,0
BE,2023-10,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-12.0,0,1
BE,2023-10,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-12.0,0,1
BE,2023-10,ict_generic,53.0,285146594.89000005,1069048.525,250530194.46302742,939267.5194384912,29.0,343347015.19,712807.25,301665164.60431135,626273.4402493773,0.5121951219512195,early,2024-10-18,2024-10,2024-11,0,-12.0,0,1
BE,2023-10,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-12.0,0,1
BE,2023-11,cyber_broad,1.0,600000.0,600000.0,527575.7575757575,527575.7575757575,0.0,0.0,,0.0,,0.0,early,2024-10-18,2024-10,2024-11,0,-11.0,1,0
BE,2023-11,cyber_strict,1.0,,,,,0.0,0.0,,0.0,,1.0,early,2024-10-18,2024-10,2024-11,0,-11.0,1,0
BE,2023-11,ict_generic,51.0,606703487.8399999,4000000.0,533470087.03507066,3517171.7171717165,25.0,92584657.64999999,700533.31,81409034.8326515,615973.9862171717,0.47368421052631576,early,2024-10-18,2024-10,2024-11,0,-11.0,1,0
BE,2023-11,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-11.0,1,0
BE,2023-12,cyber_broad,1.0,600000.0,600000.0,521825.61307901895,521825.61307901895,0.0,0.0,,0.0,,0.0,early,2024-10-18,2024-10,2024-11,0,-10.0,1,0
BE,2023-12,cyber_strict,2.0,220000.0,220000.0,191336.05812897361,191336.05812897361,0.0,0.0,,0.0,,0.5,early,2024-10-18,2024-10,2024-11,0,-10.0,1,0
BE,2023-12,ict_generic,65.0,852649787.99,1000000.0,741557497.265962,869709.3551316982,36.0,1227039921.4700003,688797.5,1067168098.8225235,599053.6295413258,0.4158415841584158,early,2024-10-18,2024-10,2024-11,0,-10.0,1,0
BE,2023-12,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-10.0,1,0
BE,2024-01,cyber_broad,2.0,905000.0,452500.0,792889.3485478262,396444.6742739131,0.0,0.0,,0.0,,0.0,early,2024-10-18,2024-10,2024-11,0,-9.0,1,0
BE,2024-01,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-9.0,1,0
BE,2024-01,ict_generic,48.0,1720098827.99,2442479.0,1507014407.9147737,2139906.7217146363,39.0,104539041.26000002,630000.0,91588831.2955312,551956.121088542,0.3448275862068966,early,2024-10-18,2024-10,2024-11,0,-9.0,1,0
BE,2024-01,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-9.0,1,0
BE,2024-02,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-8.0,1,0
BE,2024-02,cyber_strict,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-8.0,1,0
BE,2024-02,ict_generic,57.0,2210446741.0,3860000.0,1891667041.763936,3303329.8861140907,97.0,100526419.4,757125.0,86028996.25597392,647936.1761720546,0.24025974025974026,early,2024-10-18,2024-10,2024-11,0,-8.0,1,0
BE,2024-02,other,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-8.0,1,0
BE,2024-03,cyber_broad,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,early,2024-10-18,2024-10,2024-11,0,-7.0,1,0
BE,2024-03,cyber_strict,1.0,25000000.0,25000000.0,21311363.347322904,21311363.347322904,0.0,0.0,,0.0,,0.0,early,2024-10-18,2024-10,2024-11,0,-7.0,1,0
